sample_id	criterion	criterion_label	cutoff_type	cutoff	method	hit_rate	ic50_hit_rate	hit_rate_difference_vs_ic50
TCGA-BF-A3DN	min8_cov80	Min-8 + >=80% coverage	Top-percentile	5	Borda	0.0	0.0	0.0
TCGA-BF-A3DN	min8_cov80	Min-8 + >=80% coverage	Top-percentile	10	Borda	0.0	0.0	0.0
TCGA-BF-A3DN	min8_cov80	Min-8 + >=80% coverage	Top-percentile	20	Borda	0.0	0.0	0.0
TCGA-BF-A5EO	min8	Min-8 containment	Top-N	10	Borda	0.5	0.5	0.0
TCGA-BF-A5EO	min8	Min-8 containment	Top-N	20	Borda	0.35	0.4	-0.050000000000000044
TCGA-BF-A5EO	min8	Min-8 containment	Top-N	50	Borda	0.32	0.34	-0.020000000000000018
TCGA-BF-A5EO	min8	Min-8 containment	Top-percentile	1	Borda	0.5	0.5	0.0
TCGA-BF-A5EO	min8	Min-8 containment	Top-percentile	5	Borda	0.6666666666666666	0.6666666666666666	0.0
TCGA-BF-A5EO	min8	Min-8 containment	Top-percentile	10	Borda	0.4166666666666667	0.5	-0.08333333333333331
TCGA-BF-A5EO	min8	Min-8 containment	Top-percentile	20	Borda	0.3333333333333333	0.4166666666666667	-0.08333333333333337
TCGA-BF-A5EO	min8_cov50	Min-8 + >=50% coverage	Top-N	10	Borda	0.1	0.0	0.1
TCGA-BF-A5EO	min8_cov50	Min-8 + >=50% coverage	Top-N	20	Borda	0.05	0.05	0.0
TCGA-BF-A5EO	min8_cov50	Min-8 + >=50% coverage	Top-N	50	Borda	0.12	0.08	0.039999999999999994
TCGA-BF-A5EO	min8_cov50	Min-8 + >=50% coverage	Top-percentile	1	Borda	0.0	0.0	0.0
TCGA-BF-A5EO	min8_cov50	Min-8 + >=50% coverage	Top-percentile	5	Borda	0.16666666666666666	0.0	0.16666666666666666
TCGA-BF-A5EO	min8_cov50	Min-8 + >=50% coverage	Top-percentile	10	Borda	0.08333333333333333	0.0	0.08333333333333333
TCGA-BF-A5EO	min8_cov50	Min-8 + >=50% coverage	Top-percentile	20	Borda	0.041666666666666664	0.08333333333333333	-0.041666666666666664
TCGA-BF-A5EO	min8_cov70	Min-8 + >=70% coverage	Top-N	10	Borda	0.1	0.0	0.1
TCGA-BF-A5EO	min8_cov70	Min-8 + >=70% coverage	Top-N	20	Borda	0.05	0.05	0.0
TCGA-BF-A5EO	min8_cov70	Min-8 + >=70% coverage	Top-N	50	Borda	0.04	0.04	0.0
TCGA-BF-A5EO	min8_cov70	Min-8 + >=70% coverage	Top-percentile	1	Borda	0.0	0.0	0.0
TCGA-BF-A5EO	min8_cov70	Min-8 + >=70% coverage	Top-percentile	5	Borda	0.16666666666666666	0.0	0.16666666666666666
TCGA-BF-A5EO	min8_cov70	Min-8 + >=70% coverage	Top-percentile	10	Borda	0.08333333333333333	0.0	0.08333333333333333
TCGA-BF-A5EO	min8_cov70	Min-8 + >=70% coverage	Top-percentile	20	Borda	0.041666666666666664	0.08333333333333333	-0.041666666666666664
TCGA-BF-A5EO	min8_cov80	Min-8 + >=80% coverage	Top-N	10	Borda	0.0	0.0	0.0
TCGA-BF-A5EO	min8_cov80	Min-8 + >=80% coverage	Top-N	20	Borda	0.0	0.0	0.0
TCGA-BF-A5EO	min8_cov80	Min-8 + >=80% coverage	Top-N	50	Borda	0.02	0.02	0.0
TCGA-BF-A5EO	min8_cov80	Min-8 + >=80% coverage	Top-percentile	1	Borda	0.0	0.0	0.0
TCGA-BF-A5EO	min8_cov80	Min-8 + >=80% coverage	Top-percentile	5	Borda	0.0	0.0	0.0
TCGA-BF-A5EO	min8_cov80	Min-8 + >=80% coverage	Top-percentile	10	Borda	0.0	0.0	0.0
TCGA-BF-A5EO	min8_cov80	Min-8 + >=80% coverage	Top-percentile	20	Borda	0.0	0.041666666666666664	-0.041666666666666664
TCGA-BF-A5EP	min8	Min-8 containment	Top-N	10	Borda	0.2	0.1	0.1
TCGA-BF-A5EP	min8	Min-8 containment	Top-N	20	Borda	0.25	0.2	0.04999999999999999
TCGA-BF-A5EP	min8	Min-8 containment	Top-N	50	Borda	0.26	0.26	0.0
TCGA-BF-A5EP	min8	Min-8 containment	Top-percentile	1	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8	Min-8 containment	Top-percentile	5	Borda	0.0	0.25	-0.25
TCGA-BF-A5EP	min8	Min-8 containment	Top-percentile	10	Borda	0.0	0.14285714285714285	-0.14285714285714285
TCGA-BF-A5EP	min8	Min-8 containment	Top-percentile	20	Borda	0.15384615384615385	0.15384615384615385	0.0
TCGA-BF-A5EP	min8_cov50	Min-8 + >=50% coverage	Top-N	10	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov50	Min-8 + >=50% coverage	Top-N	20	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov50	Min-8 + >=50% coverage	Top-N	50	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov50	Min-8 + >=50% coverage	Top-percentile	1	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov50	Min-8 + >=50% coverage	Top-percentile	5	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov50	Min-8 + >=50% coverage	Top-percentile	10	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov50	Min-8 + >=50% coverage	Top-percentile	20	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov70	Min-8 + >=70% coverage	Top-N	10	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov70	Min-8 + >=70% coverage	Top-N	20	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov70	Min-8 + >=70% coverage	Top-N	50	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov70	Min-8 + >=70% coverage	Top-percentile	1	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov70	Min-8 + >=70% coverage	Top-percentile	5	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov70	Min-8 + >=70% coverage	Top-percentile	10	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov70	Min-8 + >=70% coverage	Top-percentile	20	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov80	Min-8 + >=80% coverage	Top-N	10	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov80	Min-8 + >=80% coverage	Top-N	20	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov80	Min-8 + >=80% coverage	Top-N	50	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov80	Min-8 + >=80% coverage	Top-percentile	1	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov80	Min-8 + >=80% coverage	Top-percentile	5	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov80	Min-8 + >=80% coverage	Top-percentile	10	Borda	0.0	0.0	0.0
TCGA-BF-A5EP	min8_cov80	Min-8 + >=80% coverage	Top-percentile	20	Borda	0.0	0.0	0.0
TCGA-BF-A5EQ	min8	Min-8 containment	Top-N	10	Borda	0.4	0.3	0.10000000000000003
TCGA-BF-A5EQ	min8	Min-8 containment	Top-N	20	Borda	0.3	0.35	-0.04999999999999999
TCGA-BF-A5EQ	min8	Min-8 containment	Top-N	50	Borda	0.32	0.3	0.020000000000000018
TCGA-BF-A5EQ	min8	Min-8 containment	Top-percentile	1	Borda	0.5	0.5	0.0
TCGA-BF-A5EQ	min8	Min-8 containment	Top-percentile	5	Borda	0.4444444444444444	0.3333333333333333	0.1111111111111111
TCGA-BF-A5EQ	min8	Min-8 containment	Top-percentile	10	Borda	0.2777777777777778	0.2777777777777778	0.0
TCGA-BF-A5EQ	min8	Min-8 containment	Top-percentile	20	Borda	0.34285714285714286	0.37142857142857144	-0.02857142857142858
TCGA-BF-A5EQ	min8_cov50	Min-8 + >=50% coverage	Top-N	10	Borda	0.2	0.1	0.1
TCGA-BF-A5EQ	min8_cov50	Min-8 + >=50% coverage	Top-N	20	Borda	0.15	0.2	-0.05000000000000002
TCGA-BF-A5EQ	min8_cov50	Min-8 + >=50% coverage	Top-N	50	Borda	0.16	0.14	0.01999999999999999
TCGA-BF-A5EQ	min8_cov50	Min-8 + >=50% coverage	Top-percentile	1	Borda	0.5	0.0	0.5
TCGA-BF-A5EQ	min8_cov50	Min-8 + >=50% coverage	Top-percentile	5	Borda	0.2222222222222222	0.1111111111111111	0.1111111111111111
TCGA-BF-A5EQ	min8_cov50	Min-8 + >=50% coverage	Top-percentile	10	Borda	0.16666666666666666	0.1111111111111111	0.05555555555555555
TCGA-BF-A5EQ	min8_cov50	Min-8 + >=50% coverage	Top-percentile	20	Borda	0.2	0.17142857142857143	0.02857142857142858
TCGA-BF-A5EQ	min8_cov70	Min-8 + >=70% coverage	Top-N	10	Borda	0.1	0.1	0.0
TCGA-BF-A5EQ	min8_cov70	Min-8 + >=70% coverage	Top-N	20	Borda	0.05	0.05	0.0
TCGA-BF-A5EQ	min8_cov70	Min-8 + >=70% coverage	Top-N	50	Borda	0.02	0.02	0.0
TCGA-BF-A5EQ	min8_cov70	Min-8 + >=70% coverage	Top-percentile	1	Borda	0.0	0.0	0.0
TCGA-BF-A5EQ	min8_cov70	Min-8 + >=70% coverage	Top-percentile	5	Borda	0.1111111111111111	0.1111111111111111	0.0
TCGA-BF-A5EQ	min8_cov70	Min-8 + >=70% coverage	Top-percentile	10	Borda	0.05555555555555555	0.05555555555555555	0.0
TCGA-BF-A5EQ	min8_cov70	Min-8 + >=70% coverage	Top-percentile	20	Borda	0.02857142857142857	0.02857142857142857	0.0
TCGA-BF-A5EQ	min8_cov80	Min-8 + >=80% coverage	Top-N	10	Borda	0.0	0.0	0.0
TCGA-BF-A5EQ	min8_cov80	Min-8 + >=80% coverage	Top-N	20	Borda	0.0	0.0	0.0
